metro,zip,npi_providers,npi_locations
Brooklyn / Staten Island,10301,2,2
Brooklyn / Staten Island,10304,6,5
Brooklyn / Staten Island,10305,4,4
Brooklyn / Staten Island,10306,2,2
Brooklyn / Staten Island,10309,5,4
Brooklyn / Staten Island,10310,1,1
Brooklyn / Staten Island,10312,3,3
Brooklyn / Staten Island,10314,13,10
Long Island / Queens,11003,2,1
Long Island / Queens,11010,2,1
Long Island / Queens,11021,42,21
Long Island / Queens,11023,1,1
Long Island / Queens,11024,1,1
Long Island / Queens,11030,15,11
Long Island / Queens,11040,7,5
Long Island / Queens,11042,36,13
Long Island / Queens,11050,2,2
Long Island / Queens,11096,3,1
Long Island / Queens,11101,4,2
Long Island / Queens,11102,5,5
Long Island / Queens,11103,6,5
Long Island / Queens,11105,4,2
Brooklyn / Staten Island,11201,22,15
Brooklyn / Staten Island,11203,17,6
Brooklyn / Staten Island,11204,5,5
Brooklyn / Staten Island,11205,2,2
Brooklyn / Staten Island,11206,4,2
Brooklyn / Staten Island,11209,23,12
Brooklyn / Staten Island,11210,1,1
Brooklyn / Staten Island,11211,4,2
Brooklyn / Staten Island,11212,1,1
Brooklyn / Staten Island,11213,1,1
Brooklyn / Staten Island,11214,5,5
Brooklyn / Staten Island,11215,16,11
Brooklyn / Staten Island,11217,7,6
Brooklyn / Staten Island,11219,13,11
Brooklyn / Staten Island,11220,8,6
Brooklyn / Staten Island,11222,1,1
Brooklyn / Staten Island,11223,2,2
Brooklyn / Staten Island,11228,4,4
Brooklyn / Staten Island,11229,12,9
Brooklyn / Staten Island,11230,13,8
Brooklyn / Staten Island,11231,2,2
Brooklyn / Staten Island,11232,2,1
Brooklyn / Staten Island,11233,1,1
Brooklyn / Staten Island,11234,3,2
Brooklyn / Staten Island,11235,24,18
Brooklyn / Staten Island,11236,2,1
Brooklyn / Staten Island,11237,5,3
Brooklyn / Staten Island,11238,2,2
Brooklyn / Staten Island,11242,2,1
Brooklyn / Staten Island,11243,1,1
Long Island / Queens,11354,22,15
Long Island / Queens,11355,10,9
Long Island / Queens,11356,1,1
Long Island / Queens,11357,1,1
Long Island / Queens,11358,6,4
Long Island / Queens,11360,2,2
Long Island / Queens,11361,3,2
Long Island / Queens,11364,4,2
Long Island / Queens,11365,12,3
Long Island / Queens,11366,1,1
Long Island / Queens,11367,2,2
Long Island / Queens,11368,2,2
Long Island / Queens,11372,4,4
Long Island / Queens,11373,11,6
Long Island / Queens,11374,4,4
Long Island / Queens,11375,22,16
Long Island / Queens,11377,1,1
Long Island / Queens,11379,3,3
Long Island / Queens,11385,4,3
Long Island / Queens,11415,3,1
Long Island / Queens,11417,1,1
Long Island / Queens,11418,2,2
Long Island / Queens,11423,2,1
Long Island / Queens,11432,6,6
Long Island / Queens,11433,1,1
Long Island / Queens,11501,10,8
Long Island / Queens,11507,2,2
Long Island / Queens,11510,1,1
Long Island / Queens,11516,1,1
Long Island / Queens,11520,1,1
Long Island / Queens,11530,35,15
Long Island / Queens,11542,4,4
Long Island / Queens,11548,7,3
Long Island / Queens,11554,4,2
Long Island / Queens,11557,8,4
Long Island / Queens,11559,6,3
Long Island / Queens,11561,7,2
Long Island / Queens,11563,2,2
Long Island / Queens,11566,4,3
Long Island / Queens,11570,17,13
Long Island / Queens,11572,11,3
Long Island / Queens,11576,7,3
Long Island / Queens,11577,9,6
Long Island / Queens,11581,4,4
Long Island / Queens,11590,2,1
Long Island / Queens,11596,1,1
Long Island / Queens,11598,14,4
Long Island / Queens,11691,5,1
Long Island / Queens,11697,1,1
Long Island / Queens,11701,3,2
Long Island / Queens,11702,1,1
Long Island / Queens,11703,1,1
Long Island / Queens,11704,1,1
Long Island / Queens,11706,12,5
Long Island / Queens,11710,3,2
Long Island / Queens,11714,5,2
Long Island / Queens,11721,2,1
Long Island / Queens,11725,10,9
Long Island / Queens,11729,3,3
Long Island / Queens,11733,16,10
Long Island / Queens,11735,1,1
Long Island / Queens,11740,1,1
Long Island / Queens,11743,28,20
Long Island / Queens,11746,11,6
Long Island / Queens,11747,9,5
Long Island / Queens,11749,3,2
Long Island / Queens,11753,6,3
Long Island / Queens,11756,1,1
Long Island / Queens,11757,2,2
Long Island / Queens,11758,8,6
Long Island / Queens,11763,1,1
Long Island / Queens,11764,1,1
Long Island / Queens,11767,1,1
Long Island / Queens,11768,1,1
Long Island / Queens,11772,3,2
Long Island / Queens,11776,10,7
Long Island / Queens,11777,3,2
Long Island / Queens,11779,3,3
Long Island / Queens,11780,1,1
Long Island / Queens,11782,1,1
Long Island / Queens,11784,2,2
Long Island / Queens,11787,23,11
Long Island / Queens,11788,7,4
Long Island / Queens,11790,11,7
Long Island / Queens,11791,4,4
Long Island / Queens,11793,1,1
Long Island / Queens,11794,6,5
Long Island / Queens,11795,5,5
Long Island / Queens,11797,15,10
Long Island / Queens,11801,10,4
Long Island / Queens,11803,9,5
Long Island / Queens,11901,4,2
Long Island / Queens,11933,1,1
Long Island / Queens,11946,1,1
Long Island / Queens,11952,1,1
Long Island / Queens,11959,2,2
Long Island / Queens,11963,3,2
Long Island / Queens,11968,10,8
Buffalo / Rochester / Albany,12009,7,2
Buffalo / Rochester / Albany,12033,6,2
Buffalo / Rochester / Albany,12037,1,1
Buffalo / Rochester / Albany,12054,1,1
Buffalo / Rochester / Albany,12065,4,4
Buffalo / Rochester / Albany,12077,1,1
Buffalo / Rochester / Albany,12110,14,10
Buffalo / Rochester / Albany,12180,10,6
Buffalo / Rochester / Albany,12184,1,1
Buffalo / Rochester / Albany,12203,8,4
Buffalo / Rochester / Albany,12205,10,5
Buffalo / Rochester / Albany,12207,2,2
Buffalo / Rochester / Albany,12208,10,7
Buffalo / Rochester / Albany,12302,1,1
Buffalo / Rochester / Albany,12304,3,2
Buffalo / Rochester / Albany,12305,3,3
Buffalo / Rochester / Albany,12308,4,2
Buffalo / Rochester / Albany,12401,5,4
Buffalo / Rochester / Albany,12449,2,2
Buffalo / Rochester / Albany,14020,3,3
Buffalo / Rochester / Albany,14031,1,1
Buffalo / Rochester / Albany,14043,4,3
Buffalo / Rochester / Albany,14048,1,1
Buffalo / Rochester / Albany,14051,3,3
Buffalo / Rochester / Albany,14052,1,1
Buffalo / Rochester / Albany,14075,4,3
Buffalo / Rochester / Albany,14086,1,1
Buffalo / Rochester / Albany,14092,2,1
Buffalo / Rochester / Albany,14094,2,2
Buffalo / Rochester / Albany,14120,2,1
Buffalo / Rochester / Albany,14127,8,5
Buffalo / Rochester / Albany,14150,2,1
Buffalo / Rochester / Albany,14203,3,3
Buffalo / Rochester / Albany,14209,2,2
Buffalo / Rochester / Albany,14214,3,3
Buffalo / Rochester / Albany,14215,3,2
Buffalo / Rochester / Albany,14217,1,1
Buffalo / Rochester / Albany,14220,3,2
Buffalo / Rochester / Albany,14221,35,24
Buffalo / Rochester / Albany,14222,1,1
Buffalo / Rochester / Albany,14223,2,2
Buffalo / Rochester / Albany,14224,5,3
Buffalo / Rochester / Albany,14225,1,1
Buffalo / Rochester / Albany,14226,10,6
Buffalo / Rochester / Albany,14263,18,4
Buffalo / Rochester / Albany,14304,2,2
Buffalo / Rochester / Albany,14420,1,1
Buffalo / Rochester / Albany,14424,2,2
Buffalo / Rochester / Albany,14450,6,2
Buffalo / Rochester / Albany,14456,4,3
Buffalo / Rochester / Albany,14513,2,2
Buffalo / Rochester / Albany,14534,11,7
Buffalo / Rochester / Albany,14551,2,1
Buffalo / Rochester / Albany,14564,8,4
Buffalo / Rochester / Albany,14606,3,2
Buffalo / Rochester / Albany,14607,11,3
Buffalo / Rochester / Albany,14609,3,2
Buffalo / Rochester / Albany,14616,1,1
Buffalo / Rochester / Albany,14618,14,11
Buffalo / Rochester / Albany,14620,8,3
Buffalo / Rochester / Albany,14621,4,4
Buffalo / Rochester / Albany,14622,1,1
Buffalo / Rochester / Albany,14623,14,5
Buffalo / Rochester / Albany,14624,2,1
Buffalo / Rochester / Albany,14625,19,7
Buffalo / Rochester / Albany,14626,11,6
Buffalo / Rochester / Albany,14642,27,2
Buffalo / Rochester / Albany,14701,2,2
Buffalo / Rochester / Albany,14715,1,1
Buffalo / Rochester / Albany,14760,3,3
Philadelphia / Pittsburgh,15003,2,1
Philadelphia / Pittsburgh,15009,2,2
Philadelphia / Pittsburgh,15017,4,2
Philadelphia / Pittsburgh,15025,1,1
Philadelphia / Pittsburgh,15063,2,2
Philadelphia / Pittsburgh,15065,4,1
Philadelphia / Pittsburgh,15085,2,1
Philadelphia / Pittsburgh,15090,15,10
Philadelphia / Pittsburgh,15101,2,2
Philadelphia / Pittsburgh,15102,3,2
Philadelphia / Pittsburgh,15108,13,5
Philadelphia / Pittsburgh,15131,2,1
Philadelphia / Pittsburgh,15132,1,1
Philadelphia / Pittsburgh,15143,7,5
Philadelphia / Pittsburgh,15146,17,10
Philadelphia / Pittsburgh,15205,1,1
Philadelphia / Pittsburgh,15206,9,6
Philadelphia / Pittsburgh,15212,21,7
Philadelphia / Pittsburgh,15213,33,17
Philadelphia / Pittsburgh,15215,9,4
Philadelphia / Pittsburgh,15217,1,1
Philadelphia / Pittsburgh,15219,2,2
Philadelphia / Pittsburgh,15220,4,3
Philadelphia / Pittsburgh,15221,3,3
Philadelphia / Pittsburgh,15222,1,1
Philadelphia / Pittsburgh,15223,1,1
Philadelphia / Pittsburgh,15224,11,6
Philadelphia / Pittsburgh,15228,7,3
Philadelphia / Pittsburgh,15232,13,8
Philadelphia / Pittsburgh,15235,3,3
Philadelphia / Pittsburgh,15237,8,6
Philadelphia / Pittsburgh,15238,12,10
Philadelphia / Pittsburgh,15239,1,1
Philadelphia / Pittsburgh,15240,2,2
Philadelphia / Pittsburgh,15241,7,5
Philadelphia / Pittsburgh,15243,14,6
Philadelphia / Pittsburgh,15261,1,1
Philadelphia / Pittsburgh,15275,1,1
Philadelphia / Pittsburgh,19001,3,2
Philadelphia / Pittsburgh,19002,3,2
Philadelphia / Pittsburgh,19003,9,5
Philadelphia / Pittsburgh,19004,18,15
Philadelphia / Pittsburgh,19006,9,5
Philadelphia / Pittsburgh,19007,2,1
Philadelphia / Pittsburgh,19010,34,16
Philadelphia / Pittsburgh,19013,1,1
Philadelphia / Pittsburgh,19014,1,1
Philadelphia / Pittsburgh,19020,11,9
Philadelphia / Pittsburgh,19023,1,1
Philadelphia / Pittsburgh,19025,1,1
Philadelphia / Pittsburgh,19026,5,2
Philadelphia / Pittsburgh,19034,17,6
Philadelphia / Pittsburgh,19035,2,1
Philadelphia / Pittsburgh,19038,2,1
Philadelphia / Pittsburgh,19040,4,2
Philadelphia / Pittsburgh,19041,4,3
Philadelphia / Pittsburgh,19046,12,8
Philadelphia / Pittsburgh,19047,12,9
Philadelphia / Pittsburgh,19053,2,2
Philadelphia / Pittsburgh,19063,31,12
Philadelphia / Pittsburgh,19066,1,1
Philadelphia / Pittsburgh,19067,25,8
Philadelphia / Pittsburgh,19072,2,2
Philadelphia / Pittsburgh,19073,15,9
Philadelphia / Pittsburgh,19078,4,3
Philadelphia / Pittsburgh,19082,3,2
Philadelphia / Pittsburgh,19083,6,2
Philadelphia / Pittsburgh,19085,4,1
Philadelphia / Pittsburgh,19087,12,8
Philadelphia / Pittsburgh,19090,2,2
Philadelphia / Pittsburgh,19096,11,6
Philadelphia / Pittsburgh,19102,22,8
Philadelphia / Pittsburgh,19103,5,4
Philadelphia / Pittsburgh,19104,131,25
Philadelphia / Pittsburgh,19106,8,6
Philadelphia / Pittsburgh,19107,59,24
Philadelphia / Pittsburgh,19111,16,4
Philadelphia / Pittsburgh,19112,3,1
Philadelphia / Pittsburgh,19114,2,2
Philadelphia / Pittsburgh,19115,6,5
Philadelphia / Pittsburgh,19116,3,2
Philadelphia / Pittsburgh,19118,2,1
Philadelphia / Pittsburgh,19123,2,2
Philadelphia / Pittsburgh,19125,2,1
Philadelphia / Pittsburgh,19126,1,1
Philadelphia / Pittsburgh,19128,5,3
Philadelphia / Pittsburgh,19131,4,2
Philadelphia / Pittsburgh,19134,9,3
Philadelphia / Pittsburgh,19139,1,1
Philadelphia / Pittsburgh,19140,26,7
Philadelphia / Pittsburgh,19141,2,2
Philadelphia / Pittsburgh,19145,4,3
Philadelphia / Pittsburgh,19148,3,2
Philadelphia / Pittsburgh,19152,5,4
Philadelphia / Pittsburgh,19301,11,6
Philadelphia / Pittsburgh,19317,2,1
Philadelphia / Pittsburgh,19333,2,1
Philadelphia / Pittsburgh,19335,1,1
Philadelphia / Pittsburgh,19341,14,6
Philadelphia / Pittsburgh,19342,7,5
Philadelphia / Pittsburgh,19348,1,1
Philadelphia / Pittsburgh,19355,4,4
Philadelphia / Pittsburgh,19380,4,4
Philadelphia / Pittsburgh,19382,2,2
Philadelphia / Pittsburgh,19390,1,1
Philadelphia / Pittsburgh,19401,3,2
Philadelphia / Pittsburgh,19403,1,1
Philadelphia / Pittsburgh,19406,12,8
Philadelphia / Pittsburgh,19422,3,2
Philadelphia / Pittsburgh,19428,1,1
Philadelphia / Pittsburgh,19444,1,1
Philadelphia / Pittsburgh,19446,5,5
Philadelphia / Pittsburgh,19454,5,3
Philadelphia / Pittsburgh,19460,5,4
Philadelphia / Pittsburgh,19462,8,4
Philadelphia / Pittsburgh,19464,5,4
Philadelphia / Pittsburgh,19468,8,4
Philadelphia / Pittsburgh,19477,1,1
DC / NoVA,20001,1,1
DC / NoVA,20002,2,1
DC / NoVA,20003,3,2
DC / NoVA,20005,5,3
DC / NoVA,20006,10,6
DC / NoVA,20007,14,5
DC / NoVA,20009,1,1
DC / NoVA,20010,28,8
DC / NoVA,20015,2,2
DC / NoVA,20016,27,15
DC / NoVA,20017,2,2
DC / NoVA,20018,1,1
DC / NoVA,20019,1,1
DC / NoVA,20032,2,2
DC / NoVA,20036,13,8
DC / NoVA,20037,44,24
DC / NoVA,20060,13,7
DC / NoVA,20105,4,2
DC / NoVA,20110,2,2
DC / NoVA,20117,1,1
DC / NoVA,20121,3,2
DC / NoVA,20147,10,5
DC / NoVA,20151,1,1
DC / NoVA,20152,3,3
DC / NoVA,20155,8,3
DC / NoVA,20164,1,1
DC / NoVA,20165,3,2
DC / NoVA,20166,7,5
DC / NoVA,20170,2,2
DC / NoVA,20171,1,1
DC / NoVA,20175,1,1
DC / NoVA,20176,25,15
DC / NoVA,20186,7,4
DC / NoVA,20190,21,13
DC / NoVA,20191,1,1
DC / NoVA,20307,6,3
DC / NoVA,20422,7,4
DC / NoVA,22003,7,6
DC / NoVA,22015,4,2
DC / NoVA,22025,1,1
DC / NoVA,22030,15,9
DC / NoVA,22031,39,20
