territory,company,city,state,zip,current_rep,rep_tier,orders,net_sales,last_order,first_order,status,tier
DC / NoVA,McLean Dermatology & Skincare Center,McLean,VA,22101,Jim & Anne Weeks,1099,17,149546.25,2026-03-30,2025-06-25,CLAIMED (stays w/ rep),1
DC / NoVA,MI Skin Dermatology Center,Washington,DC,20036,Jim & Anne Weeks,1099,16,41715.0,2026-06-04,2024-10-04,CLAIMED (stays w/ rep),1
DC / NoVA,"AllPhases Dermatology, LLC",Alexandria,VA,22310,Jim & Anne Weeks,1099,11,19901.25,2026-06-17,2025-06-05,CLAIMED (stays w/ rep),1
DC / NoVA,Ella Esthetics,Alexandria,VA,22302,Jim & Anne Weeks,1099,3,14394.0,2026-04-14,2025-11-14,CLAIMED (stays w/ rep),1
DC / NoVA,Luxe Dermatology,McLean,VA,22102,Jim & Anne Weeks,1099,5,9776.25,2026-05-28,2025-05-30,CLAIMED (stays w/ rep),1
DC / NoVA,19th Street Dermatology,Washington,DC,20036,,,3,9236.25,2025-12-08,2025-05-21,OPEN (1099 white space),1
DC / NoVA,SkinDC,Arlington,VA,22209,Jim & Anne Weeks,1099,4,8442.0,2026-05-13,2025-11-07,CLAIMED (stays w/ rep),1
DC / NoVA,National Center for Plastic Surgery,McLean,VA,22102,,,4,7897.5,2026-02-03,2025-03-31,OPEN (1099 white space),1
DC / NoVA,Center for Dermatology & Dermatologic Surgery,Washington,DC,20037,Jim & Anne Weeks,1099,3,5062.5,2026-04-14,2025-05-14,CLAIMED (stays w/ rep),1
DC / NoVA,Peel Haus Aesthetics and Plastic Surgery,Washington,DC,20003,Jim & Anne Weeks,1099,3,4893.75,2026-02-17,2025-05-23,CLAIMED (stays w/ rep),1
DC / NoVA,Washington Institute of Dermatologic Laser Surgery,Washington,DC,20005,Jim & Anne Weeks,1099,4,3618.0,2026-05-12,2025-09-11,CLAIMED (stays w/ rep),1
DC / NoVA,Creative Aesthetics,Haymarket,VA,20169,Jim & Anne Weeks,1099,2,3375.0,2026-05-16,2025-12-08,CLAIMED (stays w/ rep),1
DC / NoVA,"Emily Porter Gerson MD, LLC",Washington,DC,20016,,,2,3375.0,2026-04-02,2025-11-13,OPEN (1099 white space),1
DC / NoVA,"Melda Isaac, MD",Washington,DC,20036,Jim & Anne Weeks,1099,1,3195.0,2026-04-23,2026-04-23,CLAIMED (stays w/ rep),1
DC / NoVA,Great Many,Washington,DC,20036,,,1,1837.5,2026-04-09,2026-04-09,OPEN (1099 white space),1
DC / NoVA,Gazelle Dastouri,Sterling,VA,20164,Jim & Anne Weeks,1099,1,1687.5,2026-04-23,2026-04-23,CLAIMED (stays w/ rep),1
DC / NoVA,May Aesthetics,Stone Ridge,VA,20105,Jim & Anne Weeks,1099,1,1687.5,2025-11-17,2025-11-17,CLAIMED (stays w/ rep),1
DC / NoVA,Weight Benefits,Leesburg,VA,20176,,,1,1687.5,2026-02-03,2026-02-03,OPEN (1099 white space),1
DC / NoVA,Z Aesthetics,Chantilly,VA,20151,Lexi Cavaliere,1099,1,1687.5,2026-06-05,2026-06-05,CLAIMED (stays w/ rep),1
DC / NoVA,Custom Beauty Med Studio,Washington,DC,20003,,,1,1518.75,2025-12-10,2025-12-10,OPEN (1099 white space),1
DC / NoVA,"Saisei Medspa, LLC",Sterling,VA,20164,,,1,1518.75,2026-01-15,2026-01-15,OPEN (1099 white space),1
DC / NoVA,Skin Deep Concierge Medicine,Warrenton,VA,20186,,,1,1518.75,2025-11-17,2025-11-17,OPEN (1099 white space),1
DC / NoVA,It's a Secret Med Spa,Washington,DC,20007,,,1,1507.5,2026-04-02,2026-04-02,OPEN (1099 white space),1
DC / NoVA,Advanced Plastic Surgery,Washington,DC,20037,,,1,1206.0,2025-11-14,2025-11-14,OPEN (1099 white space),1
Dallas (DFW),Dallas Associated Dermatologists,Plano,TX,75024,Jamie Bergeron,Existing,17,52312.5,2026-06-02,2025-01-17,CLAIMED (stays w/ rep),1
Dallas (DFW),Savanna Boda Aesthetics,Southlake,TX,76092,Jamie Bergeron,Existing,11,45945.0,2026-05-19,2025-11-18,CLAIMED (stays w/ rep),1
Dallas (DFW),Signature Dermatology & Aesthetics,Plano,TX,75024,Jamie Bergeron,Existing,20,45562.5,2026-06-10,2025-07-31,CLAIMED (stays w/ rep),1
Dallas (DFW),Blackburn Woolfolk Dermatology,Irving,TX,75038,Jamie Bergeron,Existing,11,41643.0,2026-03-18,2025-02-13,CLAIMED (stays w/ rep),1
Dallas (DFW),Lam Facial Plastics,Plano,TX,75093,Jamie Bergeron,Existing,10,38242.5,2026-04-24,2025-03-07,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology Office,Dallas,TX,75209,Jamie Bergeron,Existing,14,26471.25,2026-06-17,2025-02-06,CLAIMED (stays w/ rep),1
Dallas (DFW),Steven Camp MD Plastic Surgery & Aesthetics,Fort Worth,TX,76107,Jamie Bergeron,Existing,11,25282.5,2026-06-11,2025-06-19,CLAIMED (stays w/ rep),1
Dallas (DFW),Revival Dermatology,Dallas,TX,75225,Jamie Bergeron,Existing,10,25035.0,2026-04-15,2024-10-31,CLAIMED (stays w/ rep),1
Dallas (DFW),Bare Dermatology,Frisco,TX,75033,Jamie Bergeron,Existing,10,21217.5,2026-04-20,2025-01-21,CLAIMED (stays w/ rep),1
Dallas (DFW),Total Med Solutions,Plano,TX,75093,Jamie Bergeron,Existing,2,18975.0,2026-04-20,2026-03-25,CLAIMED (stays w/ rep),1
Dallas (DFW),Northeast Tarrant Dermatology,Hurst,TX,76054,Jamie Bergeron,Existing,8,18861.75,2026-04-23,2025-02-17,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Center for Dermatology and Aesthetics,Dallas,TX,75225,Jamie Bergeron,Existing,7,17842.5,2026-05-29,2025-09-30,CLAIMED (stays w/ rep),1
Dallas (DFW),Legacy Dermatology,Frisco,TX,75034,Jamie Bergeron,Existing,7,17842.5,2026-03-13,2025-01-23,CLAIMED (stays w/ rep),1
Dallas (DFW),Bespoke Health & Beauty,Rockwall,TX,75032,Jamie Bergeron,Existing,10,17152.5,2026-06-15,2024-12-09,CLAIMED (stays w/ rep),1
Dallas (DFW),Feminology MD,Dallas,TX,75225,Julie Fetter,Existing,5,16976.25,2025-12-19,2024-12-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Plastic Surgery Center of Dallas,Dallas,TX,75240,Jamie Bergeron,Existing,7,16387.5,2026-05-27,2024-11-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Las Colinas Dermatology,Irving,TX,75063,Jamie Bergeron,Existing,9,16357.5,2026-04-02,2024-11-26,CLAIMED (stays w/ rep),1
Dallas (DFW),North Dallas Dermatology Associates,Dallas,TX,75231,Jamie Bergeron,Existing,9,15187.5,2026-06-03,2025-09-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Savanna Boda Aesthetics,Lewisville,TX,75067,Julie Fetter,Existing,5,14467.5,2025-11-04,2025-08-29,CLAIMED (stays w/ rep),1
