territory,zips,pop,target,npi_loc,npi_prov,ours,our_accts,open,tam,tier,owner,deck_addr,deck_mo6,deck_mo12,deck_mo12_annual
DC / NoVA,123,2877477,376,309,525,123,24,355,1242500,1,Jim & Anne Weeks,450,72000,100000,1200000
Dallas (DFW),346,6896144,686,542,874,346,146,564,1974000,1,Jamie Bergeron,525,78000,105000,1260000
Long Island / Queens,214,5053274,584,411,646,214,14,570,1995000,1,Sonia Mace,450,70000,95000,1140000
Nevada + Utah,334,5365062,521,418,649,334,0,521,1823500,1,James Tuckett,350,70000,95000,1140000
Ohio (Columbus/Cleveland),243,4182814,388,326,575,243,27,361,1263500,1,Sherry Quinn,450,68000,90000,1080000
Brooklyn / Staten Island,49,2973430,278,171,238,49,6,272,952000,2,Sonia Mace,300,52000,70000,840000
Houston / South Texas,533,11237446,1054,803,1362,533,101,956,3346000,2,Lexi Cavaliere,550,60000,85000,1020000
Philadelphia / Pittsburgh,284,5078007,502,472,931,284,5,497,1739500,2,Sherry Quinn,400,55000,75000,900000
Buffalo / Rochester / Albany,475,3600422,312,209,328,475,2,310,1085000,3,Jim & Anne Weeks,240,40000,55000,660000
Mississippi / Alabama,951,7685695,580,379,648,951,16,565,1977500,3,Taylor Bates,175,38000,50000,600000
