territory,tier,total_accounts,claimed_accts,claimed_sales,open_accts,open_sales,total_sales
Nevada (Las Vegas),1,10,9,25160.0,1,1687.5,26847.5
Dallas (DFW),1,151,148,1060514.24,3,0.0,1060514.24
Ohio (Columbus/Cleveland),1,46,45,249747.57,1,1518.75,251266.32
DC / NoVA,1,24,14,268981.5,10,31303.5,300285.0
Long Island / Queens,1,13,9,36570.75,4,13356.5,49927.25
Houston / South Texas,2,150,149,631994.51,1,0.0,631994.51
Brooklyn / Staten Island,2,6,5,25087.5,1,1687.5,26775.0
Philadelphia / Pittsburgh,2,5,5,16275.75,0,0.0,16275.75
Buffalo / Rochester / Albany,3,2,1,3375.0,1,1687.5,5062.5
Mississippi / Alabama,3,16,13,50592.38,3,4893.75,55486.13
