territory,tier,state,county,major_city,zipcode,population,median_household_income,income_factor,target_clinics,npi_providers,npi_locations,our_accts,open_clinics,annual_potential,current_owner
DC / NoVA,1,VA,Prince William County,Woodbridge,22193,73047,90378,1.25683360635896,9,,,0,9,31500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Ashburn,20147,54086,122115,1.4609351167206652,8,10,5,0,8,28000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Herndon,20171,45887,141433,1.5,7,1,1,0,7,24500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Annandale,22003,55990,93823,1.2805633829257836,7,7,6,0,7,24500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Fairfax,22030,55066,102140,1.3361165647338704,7,15,9,0,7,24500,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Woodbridge,22191,57598,79198,1.1765314171506183,7,10,7,0,7,24500,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Woodbridge,22192,53394,98169,1.3098863154809097,7,3,1,0,7,24500,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20002,52370,65000,1.0658672048782838,6,2,1,0,6,21000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20009,47992,88684,1.2449991592509584,6,1,1,0,6,21000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20011,58536,54488,0.9758809833638585,6,,,0,6,21000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Centreville,20120,40695,111272,1.3945669499038285,6,,,0,6,21000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Herndon,20170,41236,104371,1.3506298501215823,6,2,2,0,6,21000,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Leesburg,20176,46506,113668,1.409501462434446,7,25,15,1,6,21000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Burke,22015,43102,120575,1.451693916291244,6,4,2,0,6,21000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20001,38551,78848,1.173928813827944,5,1,1,0,5,17500,Jim & Anne Weeks
DC / NoVA,1,VA,Manassas city,Manassas,20110,43876,75584,1.1493739697720031,5,2,2,0,5,17500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Sterling,20165,32383,129827,1.5,5,3,2,0,5,17500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Fairfax,22033,37691,103052,1.3420683481937543,5,11,8,0,5,17500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Springfield,22153,31285,135641,1.5,5,,,0,5,17500,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22201,33476,113683,1.409594460571448,5,,,0,5,17500,Jim & Anne Weeks
